Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Hyundai i20,2019,8.05,14.23,116317,Diesel,Individual,Automatic,2
Skoda Rapid,2017,2.64,4.06,151106,CNG,Dealer,Manual,2
Renault Kwid,2019,1.33,3.01,123033,Diesel,Individual,Manual,2
Maruti Baleno,2009,2.49,8.02,6062,Petrol,Dealer,Manual,1
Toyota Corolla,2021,7.76,13.32,142240,Diesel,Dealer,Manual,0
Tata Nexon,2019,12.12,26.32,17910,Petrol,Individual,Manual,1
Tata Nexon,2006,2.4,10.06,81090,Petrol,Individual,Manual,0
Ford EcoSport,2010,6.55,14.06,77303,Diesel,Dealer,Automatic,1
Tata Nexon,2013,2.8,4.65,160890,CNG,Individual,Manual,3
Tata Nexon,2006,6.24,21.01,164818,CNG,Individual,Automatic,0
Maruti Baleno,2023,15.24,29.09,58441,CNG,Dealer,Automatic,1
Mahindra XUV500,2009,2.34,8.17,47101,CNG,Individual,Manual,3
Hyundai Verna,2005,8.25,22.15,246983,Diesel,Dealer,Automatic,2
Maruti Baleno,2015,6.81,21.6,128781,Diesel,Individual,Automatic,0
Skoda Rapid,2006,4.54,12.64,170459,Petrol,Dealer,Manual,0
Maruti Baleno,2019,12.32,17.56,162686,CNG,Individual,Manual,0
Maruti Swift,2016,6.94,15.48,72444,CNG,Dealer,Automatic,3
Maruti Baleno,2012,12.81,25.81,142023,Petrol,Individual,Manual,0
Hyundai Verna,2007,2.11,7.42,155354,CNG,Individual,Automatic,1
Tata Nexon,2014,6.61,14.95,48303,CNG,Individual,Automatic,3
Hyundai i20,2005,6.83,26.67,154646,Petrol,Dealer,Manual,0
Kia Seltos,2018,3.0,4.2,97263,CNG,Dealer,Manual,1
Kia Seltos,2023,8.44,13.05,223559,CNG,Dealer,Manual,0
Toyota Fortuner,2008,14.02,34.92,102720,Petrol,Dealer,Manual,2
Hyundai Verna,2008,4.89,20.81,37265,Petrol,Dealer,Automatic,0
Toyota Corolla,2019,16.36,29.93,207967,CNG,Dealer,Automatic,0
Skoda Rapid,2016,15.83,27.47,152550,CNG,Dealer,Automatic,3
Mahindra XUV500,2009,9.67,29.28,131205,Diesel,Individual,Automatic,1
Mahindra XUV500,2018,12.9,22.29,212065,Petrol,Individual,Automatic,1
Maruti Swift,2012,14.3,30.78,221523,Petrol,Individual,Manual,3
Maruti Swift,2013,9.17,16.0,241572,Diesel,Individual,Manual,1
Mahindra XUV500,2018,6.9,9.78,237793,Diesel,Individual,Automatic,2
Renault Kwid,2023,10.49,21.51,73244,CNG,Dealer,Manual,0
Hyundai i20,2013,2.22,5.77,68731,Petrol,Individual,Manual,1
Ford EcoSport,2006,6.99,32.31,142855,CNG,Dealer,Automatic,2
Volkswagen Polo,2011,2.45,7.46,24956,Petrol,Dealer,Manual,2
Mahindra XUV500,2022,18.65,23.9,75480,Petrol,Dealer,Automatic,1
Honda City,2012,6.0,18.57,211592,Petrol,Individual,Manual,2
Hyundai i20,2021,2.21,3.21,95397,CNG,Individual,Manual,1
Maruti Swift,2006,4.32,19.64,43000,Diesel,Individual,Automatic,2
Hyundai i20,2012,16.53,30.44,45806,CNG,Individual,Automatic,1
Kia Seltos,2005,0.51,2.84,110947,Diesel,Dealer,Manual,3
Mahindra Scorpio,2007,2.69,9.63,81218,CNG,Dealer,Automatic,1
Toyota Fortuner,2007,8.0,31.29,90595,CNG,Individual,Automatic,2
Hyundai i20,2018,13.18,29.4,124235,Petrol,Individual,Manual,1
Toyota Corolla,2011,6.85,22.9,21032,CNG,Dealer,Manual,3
Kia Seltos,2022,17.2,31.46,28236,CNG,Individual,Manual,1
Maruti Baleno,2016,13.81,29.41,169644,Diesel,Individual,Automatic,0
Kia Seltos,2007,14.57,33.3,245469,Petrol,Individual,Automatic,3
Kia Seltos,2021,11.74,18.0,32856,Diesel,Dealer,Automatic,1
Hyundai i20,2013,3.76,6.6,135282,Diesel,Individual,Automatic,1
Maruti Swift,2009,0.77,2.61,233497,Petrol,Individual,Automatic,0
Renault Kwid,2009,6.05,23.5,133377,CNG,Dealer,Automatic,1
Maruti Swift,2010,10.42,26.16,232595,Petrol,Dealer,Manual,2
Honda City,2018,1.3,3.55,106371,Diesel,Dealer,Manual,2
Hyundai i20,2015,5.75,11.53,94599,Petrol,Dealer,Manual,3
Toyota Corolla,2019,11.83,33.48,230685,Petrol,Individual,Manual,1
Renault Kwid,2023,10.02,21.64,151922,Petrol,Individual,Manual,0
Volkswagen Polo,2006,1.89,5.52,20048,Petrol,Dealer,Manual,0
Hyundai i20,2011,1.47,4.51,33145,Petrol,Individual,Automatic,2
Renault Kwid,2016,8.4,13.91,130995,CNG,Dealer,Manual,0
Mahindra Scorpio,2021,5.75,8.11,137413,CNG,Individual,Manual,0
Renault Kwid,2020,19.72,30.02,151968,Diesel,Dealer,Automatic,2
Mahindra Scorpio,2017,9.34,24.11,164007,Diesel,Individual,Manual,0
Skoda Rapid,2011,0.87,3.12,144892,CNG,Dealer,Manual,3
Maruti Swift,2022,20.36,26.59,56571,CNG,Dealer,Automatic,2
Volkswagen Polo,2018,11.82,21.68,126826,Petrol,Individual,Manual,0
Hyundai i20,2016,8.88,20.89,99071,Petrol,Individual,Manual,1
Toyota Fortuner,2005,11.22,31.24,84273,Diesel,Individual,Manual,2
Toyota Fortuner,2017,8.84,19.45,184615,CNG,Dealer,Manual,1
Volkswagen Polo,2021,12.39,15.26,78972,Petrol,Individual,Automatic,3
Toyota Fortuner,2011,6.78,19.24,146888,Diesel,Dealer,Manual,0
Mahindra XUV500,2022,9.47,11.78,117573,Petrol,Dealer,Automatic,0
Maruti Baleno,2013,1.99,5.61,127744,CNG,Individual,Manual,0
Renault Kwid,2010,14.11,34.42,192710,Diesel,Individual,Manual,1
Toyota Fortuner,2011,17.26,34.71,190914,Petrol,Dealer,Automatic,0
Mahindra Scorpio,2014,2.02,3.55,121953,Petrol,Dealer,Automatic,2
Hyundai Verna,2009,11.24,22.78,71262,Petrol,Dealer,Manual,3
Tata Nexon,2014,10.75,19.0,161497,Diesel,Dealer,Automatic,2
Skoda Rapid,2017,6.16,9.39,211830,Petrol,Dealer,Automatic,1
Volkswagen Polo,2013,8.25,14.91,48642,Petrol,Dealer,Manual,0
Mahindra XUV500,2013,5.21,12.86,47520,Petrol,Dealer,Manual,1
Hyundai Verna,2010,3.13,10.57,140044,Diesel,Individual,Automatic,0
Honda City,2009,16.29,34.72,239609,Petrol,Individual,Automatic,0
Ford EcoSport,2012,12.46,24.37,228180,Petrol,Dealer,Automatic,3
Toyota Corolla,2005,2.67,7.19,219696,Petrol,Dealer,Manual,0
Kia Seltos,2010,1.98,8.24,199692,CNG,Dealer,Automatic,0
Hyundai i20,2014,1.75,6.25,158962,Petrol,Individual,Manual,2
Maruti Swift,2018,15.67,26.97,96659,CNG,Individual,Automatic,0
Tata Nexon,2013,12.39,22.85,168038,Diesel,Individual,Automatic,3
Mahindra XUV500,2023,15.67,27.11,34257,Petrol,Individual,Automatic,2
Tata Nexon,2009,2.23,5.38,149579,Diesel,Individual,Manual,3
Hyundai Verna,2021,17.12,21.21,25953,CNG,Individual,Automatic,1
Tata Nexon,2016,8.35,26.74,92266,Petrol,Individual,Manual,0
Hyundai i20,2019,7.39,18.13,98106,CNG,Individual,Manual,1
Skoda Rapid,2008,6.79,16.06,142612,Petrol,Dealer,Manual,2
Maruti Baleno,2006,11.07,27.5,57307,Diesel,Dealer,Manual,2
Maruti Swift,2019,12.02,15.85,164674,Diesel,Dealer,Manual,0
Hyundai i20,2010,4.21,9.59,138052,CNG,Individual,Manual,0
Mahindra XUV500,2019,11.77,17.56,90530,Diesel,Dealer,Manual,0
Maruti Baleno,2018,6.66,19.5,175182,CNG,Dealer,Automatic,3
Maruti Baleno,2007,1.84,8.12,5526,Petrol,Individual,Automatic,2
Mahindra Scorpio,2008,7.34,20.43,70455,Petrol,Individual,Manual,1
Hyundai i20,2006,5.68,28.32,165831,Petrol,Dealer,Automatic,0
Renault Kwid,2018,24.55,34.17,111661,CNG,Dealer,Manual,0
Mahindra XUV500,2012,11.36,25.9,74298,Petrol,Dealer,Automatic,0
Maruti Swift,2020,13.73,17.92,101347,Petrol,Individual,Automatic,3
Tata Nexon,2006,3.97,19.63,117360,Petrol,Individual,Manual,0
Volkswagen Polo,2011,3.16,6.38,159470,Diesel,Individual,Automatic,1
Renault Kwid,2016,2.89,5.45,76626,Petrol,Dealer,Manual,1
Toyota Fortuner,2011,10.27,22.23,38320,Diesel,Individual,Automatic,3
Tata Nexon,2019,17.16,28.89,162702,CNG,Individual,Automatic,3
Maruti Baleno,2007,1.14,3.34,100081,Diesel,Dealer,Automatic,1
Ford EcoSport,2017,8.0,17.82,88186,Diesel,Dealer,Manual,1
Renault Kwid,2023,6.39,7.34,211789,Diesel,Dealer,Automatic,0
Maruti Swift,2007,0.95,4.69,13946,CNG,Dealer,Manual,1
Mahindra Scorpio,2011,8.67,17.27,208613,Petrol,Dealer,Automatic,0
Volkswagen Polo,2008,9.48,26.27,106757,Diesel,Dealer,Manual,3
Honda City,2006,6.04,18.06,48585,CNG,Individual,Automatic,1
Maruti Swift,2023,9.02,11.37,91652,CNG,Dealer,Automatic,3
Hyundai i20,2007,7.93,27.61,162795,Diesel,Dealer,Automatic,3
Toyota Fortuner,2009,10.0,30.19,130932,Petrol,Individual,Automatic,3
Maruti Baleno,2011,4.7,13.85,242697,CNG,Individual,Manual,2
Kia Seltos,2006,8.34,30.31,244614,Petrol,Individual,Automatic,3
Volkswagen Polo,2019,5.46,9.74,188305,CNG,Individual,Automatic,3
Renault Kwid,2016,19.5,29.35,178312,Petrol,Individual,Automatic,2
Maruti Baleno,2015,15.41,26.3,207724,Petrol,Dealer,Manual,3
Renault Kwid,2019,23.27,30.65,136691,CNG,Dealer,Automatic,1
Skoda Rapid,2009,8.87,32.91,163492,Petrol,Dealer,Manual,1
Ford EcoSport,2009,2.66,5.41,69178,Diesel,Individual,Automatic,3
Mahindra XUV500,2015,1.18,2.57,50272,Diesel,Dealer,Manual,2
Toyota Corolla,2015,6.17,18.13,241971,Diesel,Individual,Manual,3
Ford EcoSport,2020,12.98,33.01,218883,CNG,Individual,Automatic,0
Skoda Rapid,2010,15.81,30.65,115677,CNG,Individual,Manual,2
Maruti Baleno,2014,1.24,2.58,33625,Petrol,Individual,Automatic,2
Mahindra Scorpio,2012,13.19,28.25,166731,Petrol,Dealer,Manual,2
Mahindra XUV500,2020,14.52,23.49,115169,Diesel,Individual,Automatic,1
Skoda Rapid,2013,11.16,30.59,223200,Petrol,Dealer,Manual,0
Hyundai i20,2008,9.81,23.47,237549,Diesel,Individual,Automatic,2
Kia Seltos,2017,12.27,28.33,161498,Petrol,Dealer,Manual,3
Renault Kwid,2019,11.52,22.8,131969,CNG,Dealer,Manual,2
Ford EcoSport,2005,2.93,9.84,98680,CNG,Individual,Automatic,1
Hyundai i20,2018,15.83,23.21,30537,Diesel,Dealer,Manual,0
Mahindra Scorpio,2010,11.18,32.17,200804,Diesel,Dealer,Automatic,0
Maruti Baleno,2019,12.89,19.61,245398,CNG,Individual,Manual,1
Mahindra XUV500,2015,0.83,2.6,169246,CNG,Dealer,Automatic,2
Hyundai Verna,2008,7.64,32.59,115350,Petrol,Dealer,Automatic,2
Ford EcoSport,2008,3.63,10.47,98747,Diesel,Dealer,Manual,2
Renault Kwid,2020,2.65,4.96,200229,Diesel,Individual,Manual,0
Ford EcoSport,2015,3.34,6.07,180211,Diesel,Dealer,Manual,2
Hyundai Verna,2021,11.06,20.72,142513,Diesel,Dealer,Automatic,0
Renault Kwid,2014,3.37,5.71,93204,CNG,Individual,Automatic,0
Maruti Swift,2013,13.29,23.34,132959,Diesel,Dealer,Manual,1
Hyundai i20,2009,4.83,11.97,110111,CNG,Individual,Automatic,2
Maruti Baleno,2023,11.34,22.59,204648,CNG,Individual,Manual,2
Maruti Baleno,2006,5.84,17.61,85532,Petrol,Individual,Automatic,0
Renault Kwid,2011,5.25,20.04,62993,Petrol,Individual,Manual,0
Kia Seltos,2006,3.12,11.06,9358,Petrol,Individual,Manual,1
Kia Seltos,2013,9.47,24.85,198510,Diesel,Dealer,Automatic,1
Maruti Swift,2017,2.19,4.62,116335,Petrol,Dealer,Automatic,2
Maruti Baleno,2010,5.84,13.71,120395,Petrol,Dealer,Automatic,1
Tata Nexon,2012,11.25,31.04,78794,Diesel,Individual,Manual,1
Toyota Corolla,2006,9.98,34.81,155273,Diesel,Dealer,Manual,1
Kia Seltos,2012,10.53,21.16,100673,Petrol,Dealer,Manual,2
Maruti Baleno,2020,7.83,15.51,93733,Petrol,Dealer,Automatic,3
Tata Nexon,2012,16.04,28.25,236055,Diesel,Dealer,Manual,3
Tata Nexon,2009,6.47,26.33,198783,Petrol,Dealer,Automatic,0
Hyundai i20,2022,20.82,28.0,9895,Petrol,Dealer,Automatic,3
Skoda Rapid,2018,2.14,5.88,10782,Diesel,Dealer,Automatic,0
Tata Nexon,2013,10.55,18.82,132810,Diesel,Dealer,Automatic,3
Mahindra XUV500,2007,6.91,27.95,15382,Diesel,Individual,Manual,3
Toyota Fortuner,2021,3.54,5.84,30169,Petrol,Dealer,Automatic,3
Skoda Rapid,2010,1.59,6.66,36750,Diesel,Dealer,Manual,0
Hyundai Verna,2006,2.97,9.38,208981,Diesel,Individual,Automatic,0
Toyota Corolla,2005,11.37,32.45,10901,Petrol,Individual,Automatic,1
Hyundai i20,2007,7.11,33.44,28429,Petrol,Dealer,Manual,1
Maruti Baleno,2008,1.55,6.46,182731,Petrol,Individual,Automatic,3
Hyundai Verna,2017,18.72,32.9,33179,Diesel,Dealer,Automatic,2
Hyundai i20,2015,11.18,22.45,239555,CNG,Dealer,Manual,2
Renault Kwid,2014,4.7,8.99,191749,CNG,Individual,Manual,2
Maruti Baleno,2023,3.33,7.63,197660,Petrol,Individual,Automatic,1
Toyota Corolla,2005,4.47,18.81,236014,Petrol,Dealer,Manual,3
Hyundai Verna,2008,6.3,19.39,62009,CNG,Dealer,Automatic,2
Mahindra Scorpio,2007,4.11,14.14,31715,Diesel,Individual,Manual,0
Volkswagen Polo,2006,2.3,6.42,11548,Diesel,Individual,Manual,0
Hyundai i20,2011,12.15,22.43,65428,Petrol,Individual,Automatic,0
Mahindra Scorpio,2009,13.39,33.67,5163,Petrol,Dealer,Manual,3
Hyundai Verna,2008,11.22,30.53,42487,Diesel,Individual,Manual,0
Renault Kwid,2010,6.88,14.95,200113,Petrol,Dealer,Manual,3
Maruti Baleno,2013,6.94,24.71,185795,Petrol,Dealer,Automatic,1
Maruti Swift,2012,6.89,17.23,243282,CNG,Individual,Automatic,2
Kia Seltos,2019,23.83,31.35,161503,Petrol,Dealer,Manual,3
Honda City,2009,1.58,3.58,65920,CNG,Dealer,Manual,0
Mahindra XUV500,2021,17.56,33.56,93340,Diesel,Dealer,Automatic,3
Tata Nexon,2023,15.6,23.83,69027,CNG,Dealer,Automatic,0
Ford EcoSport,2012,5.84,10.75,47533,CNG,Individual,Automatic,3
Toyota Corolla,2012,7.64,22.61,188233,CNG,Individual,Manual,0
Mahindra Scorpio,2018,3.11,4.29,214112,Diesel,Dealer,Automatic,2
Maruti Baleno,2008,5.22,11.66,223599,Diesel,Individual,Manual,0
Ford EcoSport,2006,1.28,6.23,50838,Petrol,Individual,Automatic,2
Maruti Baleno,2018,11.69,16.5,110432,Diesel,Individual,Automatic,1
Maruti Swift,2023,25.2,31.27,197404,CNG,Individual,Automatic,1
Toyota Fortuner,2016,21.84,32.32,192921,Petrol,Dealer,Automatic,0
Tata Nexon,2012,11.66,20.41,230942,CNG,Individual,Automatic,1
Mahindra XUV500,2017,5.19,7.44,69028,Petrol,Dealer,Automatic,2
Ford EcoSport,2023,4.7,6.97,165811,Petrol,Individual,Manual,0
Renault Kwid,2007,3.99,11.82,88986,CNG,Dealer,Automatic,2
Honda City,2009,3.09,7.28,46321,Diesel,Individual,Automatic,0
Toyota Fortuner,2005,3.25,11.17,199018,Diesel,Individual,Manual,0
Tata Nexon,2011,9.21,22.29,81865,Petrol,Individual,Manual,0
Renault Kwid,2014,16.68,27.11,146877,Petrol,Individual,Automatic,0
Toyota Corolla,2015,17.68,26.96,225894,CNG,Individual,Automatic,2
Tata Nexon,2019,6.7,16.8,112539,Diesel,Individual,Automatic,2
Toyota Corolla,2012,4.03,7.89,85073,Diesel,Individual,Automatic,3
Volkswagen Polo,2021,8.81,21.41,73099,Petrol,Individual,Manual,3
Maruti Baleno,2008,1.04,3.74,114079,Diesel,Individual,Automatic,2
Volkswagen Polo,2023,13.83,18.44,142069,CNG,Individual,Automatic,0
Maruti Swift,2010,3.97,8.92,146330,Petrol,Individual,Automatic,2
Maruti Baleno,2022,12.05,14.26,186360,CNG,Individual,Manual,2
Maruti Baleno,2017,5.46,7.72,181325,CNG,Dealer,Manual,1
Honda City,2015,17.16,26.42,247265,Petrol,Dealer,Automatic,0
Hyundai Verna,2017,13.07,25.11,244453,Diesel,Individual,Manual,1
Mahindra Scorpio,2023,18.86,33.04,88369,CNG,Individual,Automatic,2
Kia Seltos,2021,6.56,16.36,161351,Petrol,Individual,Automatic,1
Maruti Baleno,2011,5.38,18.38,99848,Petrol,Individual,Automatic,0
Volkswagen Polo,2016,2.66,6.47,143782,Petrol,Individual,Manual,1
Mahindra XUV500,2011,3.63,10.15,24675,Diesel,Individual,Automatic,3
Hyundai i20,2014,8.85,29.88,54733,Petrol,Dealer,Automatic,3
Mahindra XUV500,2015,2.14,6.6,52299,Diesel,Dealer,Manual,2
Maruti Baleno,2022,10.48,26.17,184402,CNG,Individual,Manual,0
Mahindra Scorpio,2018,16.33,26.12,154817,Petrol,Individual,Manual,2
Maruti Swift,2021,7.74,17.31,92896,Petrol,Individual,Automatic,0
Maruti Swift,2022,16.48,25.76,96006,Diesel,Dealer,Manual,1
Tata Nexon,2006,4.74,15.33,23474,Petrol,Dealer,Automatic,0
Renault Kwid,2018,10.28,17.12,74184,Diesel,Dealer,Manual,1
Mahindra XUV500,2006,1.31,5.22,213015,CNG,Dealer,Manual,1
Kia Seltos,2012,2.89,5.69,75202,Diesel,Dealer,Automatic,2
Toyota Corolla,2008,10.24,26.97,167005,CNG,Individual,Automatic,0
Renault Kwid,2018,3.35,9.88,32624,Diesel,Individual,Automatic,0
Kia Seltos,2007,9.19,32.0,28648,Diesel,Individual,Manual,1
Ford EcoSport,2022,3.16,5.08,142924,CNG,Dealer,Automatic,3
Ford EcoSport,2013,12.1,21.06,143311,CNG,Dealer,Manual,2
Hyundai Verna,2022,4.79,7.21,165211,Diesel,Individual,Automatic,2
Ford EcoSport,2007,6.45,31.61,137970,Diesel,Dealer,Automatic,0
Tata Nexon,2009,10.19,26.18,22071,CNG,Dealer,Automatic,1
Hyundai Verna,2023,26.99,31.12,67987,CNG,Individual,Manual,3
Skoda Rapid,2017,4.81,12.66,38691,Diesel,Individual,Manual,2
Mahindra Scorpio,2009,4.95,20.47,244968,Petrol,Individual,Automatic,1
Maruti Baleno,2007,1.83,8.18,102756,Petrol,Individual,Automatic,1
Hyundai i20,2016,15.23,34.61,223561,CNG,Individual,Automatic,0
Toyota Fortuner,2007,12.36,31.03,195237,Diesel,Individual,Manual,3
Skoda Rapid,2005,2.11,9.92,23099,Diesel,Dealer,Manual,2
Honda City,2020,16.48,21.05,142488,Petrol,Individual,Manual,1
Mahindra XUV500,2005,1.07,6.17,134295,Diesel,Individual,Manual,3
Honda City,2011,2.01,7.52,43547,Petrol,Individual,Manual,2
Mahindra Scorpio,2008,6.63,30.59,68278,Diesel,Dealer,Manual,0
Mahindra XUV500,2018,9.53,27.06,191339,Petrol,Dealer,Manual,2
Ford EcoSport,2022,10.05,23.48,91661,CNG,Dealer,Manual,2
Mahindra XUV500,2018,8.55,17.19,7659,Petrol,Individual,Automatic,2
